run,limiar,arquivo,area_px,iou,vazia,tem_ferida
unet_black_seed42,0.8,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,264,0.0,0,0
unet_black_seed42,0.9,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.95,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.98,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.99,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.995,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.999,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,1.0,1,0
unet_black_seed42,0.05,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,4222,0.0,0,0
unet_black_seed42,0.1,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,2618,0.0,0,0
unet_black_seed42,0.2,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,1461,0.0,0,0
unet_black_seed42,0.3,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,893,0.0,0,0
unet_black_seed42,0.4,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,549,0.0,0,0
unet_black_seed42,0.5,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,260,0.0,0,0
unet_black_seed42,0.6,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,160,0.0,0,0
unet_black_seed42,0.7,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.8,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.9,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.95,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.98,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.99,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.995,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.999,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,1.0,1,0
unet_black_seed42,0.05,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,309792,0.785308,0,1
unet_black_seed42,0.1,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,292074,0.80787,0,1
unet_black_seed42,0.2,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,277171,0.818516,0,1
unet_black_seed42,0.3,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,269255,0.81973,0,1
unet_black_seed42,0.4,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,263069,0.819269,0,1
unet_black_seed42,0.5,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,257525,0.816738,0,1
unet_black_seed42,0.6,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,252360,0.812342,0,1
unet_black_seed42,0.7,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,246751,0.804907,0,1
unet_black_seed42,0.8,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,238275,0.795911,0,1
unet_black_seed42,0.9,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,218342,0.75597,0,1
unet_black_seed42,0.95,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,188480,0.673469,0,1
unet_black_seed42,0.98,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,147135,0.536159,0,1
unet_black_seed42,0.99,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,122223,0.445704,0,1
unet_black_seed42,0.995,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,96817,0.353366,0,1
unet_black_seed42,0.999,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,32032,0.11704,0,1
unet_black_seed42,0.05,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,7540,0.0,0,0
unet_black_seed42,0.1,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,6595,0.0,0,0
unet_black_seed42,0.2,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,5801,0.0,0,0
unet_black_seed42,0.3,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,5370,0.0,0,0
unet_black_seed42,0.4,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,5057,0.0,0,0
unet_black_seed42,0.5,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,4816,0.0,0,0
unet_black_seed42,0.6,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,4573,0.0,0,0
unet_black_seed42,0.7,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,4291,0.0,0,0
unet_black_seed42,0.8,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,3855,0.0,0,0
unet_black_seed42,0.9,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,3010,0.0,0,0
unet_black_seed42,0.95,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,2160,0.0,0,0
unet_black_seed42,0.98,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,1128,0.0,0,0
unet_black_seed42,0.99,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,433,0.0,0,0
unet_black_seed42,0.995,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,16,0.0,0,0
unet_black_seed42,0.999,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,0,1.0,1,0
unet_black_seed42,0.05,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,4712,0.0,0,0
unet_black_seed42,0.1,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,4209,0.0,0,0
unet_black_seed42,0.2,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,3704,0.0,0,0
unet_black_seed42,0.3,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,3426,0.0,0,0
