series_key,campo,timepoint_h,cell_line,braco,seed,referencia,ai,diferenca
Pré-Eclâmpsia||None||B6||c1,1,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
Saudável||None||B1||c1,1,12,HUVEC,YOLO M,43,0.247400,-0.184202,-0.431602
Saudável||None||B1||c1,1,24,HUVEC,YOLO M,43,0.877200,1.000000,0.122800
Saudável||None||B1||c2,2,24,HUVEC,YOLO M,43,0.623700,0.635877,0.012177
originais||None||A1||c1,1,8,HUVEC,YOLO M,43,0.418700,0.403229,-0.015471
originais||None||A1||c2,2,8,HUVEC,YOLO M,43,0.265500,0.288372,0.022872
originais||None||B5||c1,1,24,HUVEC,YOLO M,43,0.467400,1.000000,0.532600
originais||None||D1||c1,1,12,HUVEC,YOLO M,43,0.551300,0.570828,0.019528
originais||None||D1||c1,1,24,HUVEC,YOLO M,43,0.883500,0.838476,-0.045024
originais||None||D1||c1,1,8,HUVEC,YOLO M,43,0.437600,0.453366,0.015766
originais||None||D1||c2,2,12,HUVEC,YOLO M,43,0.570200,0.551085,-0.019115
originais||None||D1||c2,2,24,HUVEC,YOLO M,43,0.792900,0.806417,0.013517
originais||None||D1||c2,2,8,HUVEC,YOLO M,43,0.446700,0.426279,-0.020421
originais||None||D4||c1,1,24,HUVEC,YOLO M,43,0.809300,1.000000,0.190700
originais||None||D4||c1,1,8,HUVEC,YOLO M,43,0.600300,0.605272,0.004972
Controle||None||B1||c1,1,12,HUVEC,YOLO M,44,0.266200,0.277876,0.011676
Controle||None||B1||c1,1,8,HUVEC,YOLO M,44,0.206700,0.227262,0.020562
LUIS RAW||PEP+GB||A3||c2,2,12,HUVEC,YOLO M,44,0.823500,0.786715,-0.036785
LUIS RAW||PEP+GB||A3||c2,2,24,HUVEC,YOLO M,44,1.000000,1.000000,0.000000
LUIS RAW||PEP+GB||A3||c2,2,8,HUVEC,YOLO M,44,0.427300,0.475413,0.048113
LUIS RAW||PEP+MET3||A6||c1,1,12,HUVEC,YOLO M,44,0.462400,0.311304,-0.151096
LUIS RAW||PEP+MET3||A6||c1,1,24,HUVEC,YOLO M,44,0.684400,0.622796,-0.061604
LUIS RAW||PEP+MET3||A6||c1,1,8,HUVEC,YOLO M,44,0.289400,0.246544,-0.042856
LUIS RAW||PEP+MET3||A6||c2,2,12,HUVEC,YOLO M,44,0.338900,0.314497,-0.024403
LUIS RAW||PEP+MET3||A6||c2,2,24,HUVEC,YOLO M,44,0.635100,1.000000,0.364900
LUIS RAW||PEP+MET3||A6||c2,2,8,HUVEC,YOLO M,44,0.120000,0.170245,0.050245
LUIS RAW||PEP||E1||c1,1,12,HUVEC,YOLO M,44,0.681400,0.560100,-0.121300
LUIS RAW||PEP||E1||c1,1,24,HUVEC,YOLO M,44,1.000000,1.000000,0.000000
LUIS RAW||PEP||E1||c1,1,8,HUVEC,YOLO M,44,0.536500,0.516796,-0.019704
LUIS RAW||PEP||E1||c2,2,12,HUVEC,YOLO M,44,0.784800,1.000000,0.215200
LUIS RAW||PEP||E1||c2,2,8,HUVEC,YOLO M,44,0.667900,0.500054,-0.167846
LUIS RAW||PET||C5||c1,1,12,HUVEC,YOLO M,44,0.347500,0.343275,-0.004225
LUIS RAW||PET||C5||c1,1,8,HUVEC,YOLO M,44,0.290400,0.283491,-0.006909
LUIS RAW||PET||F2||c1,1,12,HUVEC,YOLO M,44,0.021200,1.000000,0.978800
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,HUVEC,YOLO M,44,0.863000,1.000000,0.137000
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,HUVEC,YOLO M,44,0.724300,0.474257,-0.250043
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,HUVEC,YOLO M,44,0.422700,0.369577,-0.053123
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,HUVEC,YOLO M,44,0.753100,0.708333,-0.044767
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,HUVEC,YOLO M,44,0.548400,0.521009,-0.027391
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,HUVEC,YOLO M,44,0.008200,0.391636,0.383436
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,HUVEC,YOLO M,44,0.062700,0.355420,0.292720
