filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,2137621.000,42.402,1343.756,302.844,225,ok,pixels,1.000000
67aac5fafc__HUVEC__Originais_1_None_B5__tp24h__B5_24HR.tiff,980297.000,19.445,578.525,302.408,245,ok,pixels,1.000000
67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,1536005.000,30.468,1379.034,430.383,277,ok,pixels,1.000000
691f27f27e__SKOV-3__P1_PTX_F2__tp48h__Snap-18_2.tiff,317653.000,6.301,181.025,71.950,200,ok,pixels,1.000000
6a31bf39c3__BASELINE__SKOV-3__P1_GEO_F11__tp0h__75geo3_1.tiff,3227154.000,64.014,1609.266,745.590,22,ok,pixels,1.000000
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,2982635.000,59.164,1994.150,411.042,113,ok,pixels,1.000000
6aac6703c3__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_2.tiff,234049.000,4.643,250.537,90.510,59,ok,pixels,1.000000
6af51551c0__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_1_2.tiff,4172313.000,82.762,2075.349,364.916,69,ok,pixels,1.000000
6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,2220675.000,44.050,1391.032,125.011,207,ok,pixels,1.000000
6dfed6db6e__SKOV-3__P1_GEO_F11__tp72h__Snap-31.tiff,73370.000,1.455,129.798,64.636,60,ok,pixels,1.000000
6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,4508525.000,89.432,2350.034,195.053,30,ok,pixels,1.000000
6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25.tiff,1548426.000,30.715,2027.585,686.279,132,ok,pixels,1.000000
7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,52164.000,1.035,306.681,84.166,120,ok,pixels,1.000000
72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,2028539.000,40.238,1343.174,725.794,215,ok,pixels,1.000000
757d325f1f__SKOV-3__P2_CARBO+GEO_F8__tp24h__Snap-54.tiff,788127.000,15.633,2104.049,614.602,313,ok,pixels,1.000000
7588e611d5__HUVEC__originais_None_D1__tp0h__D1_0HR_2.tiff,1061120.000,21.048,562.716,157.293,305,ok,pixels,1.000000
76e82b7d28__SKOV-3__P1_PTX_F9__tp24h__Snap-25_2.tiff,1717197.000,34.063,1486.023,954.931,248,ok,pixels,1.000000
77136aab22__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_2_2.tiff,3050818.000,60.516,1781.930,659.858,173,ok,pixels,1.000000
7a3177a5b3__HUVEC__Originais_1_None_D1__tp12h__D1_12HR_2_2.tiff,451166.000,8.949,242.276,112.262,125,ok,pixels,1.000000
7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2.tiff,1686078.000,33.445,1150.682,383.445,198,ok,pixels,1.000000
7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,3210687.000,63.688,1970.885,367.815,111,ok,pixels,1.000000
7d8b79a5ad__HUVEC__originais_None_A1__tp24h__A1_24HR_2.tiff,711319.000,14.110,744.981,397.495,300,ok,pixels,1.000000
7e12b751cc__HUVEC__LUIS_RAW_PET_F2__tp12h__F2_12H_1.tiff,1191787.000,23.640,810.585,523.999,190,ok,pixels,1.000000
7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2.tiff,3251770.000,64.502,2093.958,413.141,94,ok,pixels,1.000000
80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,1315871.000,26.102,730.504,151.374,204,ok,pixels,1.000000
81a85f25ae__SKOV-3__P2_GEO_F8__tp0h__Snap-39.tiff,3269732.000,64.859,1848.956,561.135,58,ok,pixels,1.000000
821e5c649b__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,911392.000,18.078,474.658,39.891,237,ok,pixels,1.000000
8328b100ab__SKOV-3__P2_GEO_F11__tp24h__Snap-42.tiff,813431.000,16.135,439.803,171.886,423,ok,pixels,1.000000
