series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
Originais (1)||None||A5||c2,HUVEC,Originais (1)||None||A5,2,0,15.691,0.0,corrigida,sim
Originais (1)||None||A5||c2,HUVEC,Originais (1)||None||A5,2,8,6.311,0.5978,corrigida,sim
Originais (1)||None||A5||c2,HUVEC,Originais (1)||None||A5,2,12,2.662,0.8303,corrigida,sim
Originais (1)||None||A5||c2,HUVEC,Originais (1)||None||A5,2,24,0.0,1.0,corrigida,sim
Originais (1)||None||B5||c1,HUVEC,Originais (1)||None||B5,1,0,16.726,0.0,corrigida,sim
Originais (1)||None||B5||c1,HUVEC,Originais (1)||None||B5,1,8,8.297,0.5039,corrigida,sim
Originais (1)||None||B5||c1,HUVEC,Originais (1)||None||B5,1,12,5.994,0.6416,corrigida,sim
Originais (1)||None||B5||c2,HUVEC,Originais (1)||None||B5,2,0,22.321,0.0,automatica,sim
Originais (1)||None||B5||c2,HUVEC,Originais (1)||None||B5,2,8,17.072,0.2352,automatica,sim
Originais (1)||None||B5||c2,HUVEC,Originais (1)||None||B5,2,12,15.976,0.2843,automatica,sim
Originais (1)||None||D1||c1,HUVEC,Originais (1)||None||D1,1,0,16.047,0.0,corrigida,nao
Originais (1)||None||D1||c1,HUVEC,Originais (1)||None||D1,1,8,8.209,0.4884,corrigida,nao
Originais (1)||None||D1||c1,HUVEC,Originais (1)||None||D1,1,12,10.234,0.3622,corrigida,nao
Originais (1)||None||D1||c1,HUVEC,Originais (1)||None||D1,1,24,0.0,1.0,corrigida,nao
Originais (1)||None||D1||c2,HUVEC,Originais (1)||None||D1,2,0,15.756,0.0,automatica,sim
Originais (1)||None||D1||c2,HUVEC,Originais (1)||None||D1,2,8,11.721,0.2561,automatica,sim
Originais (1)||None||D1||c2,HUVEC,Originais (1)||None||D1,2,12,8.949,0.432,automatica,sim
P1|CT|F10,SKOV-3,P1|CT|F10,F10,0,39.654,0.0,corrigida,sim
P1|CT|F10,SKOV-3,P1|CT|F10,F10,48,0.0,1.0,corrigida,sim
